id;kode_efek;nama_efek;tipe_efek;last_closing_price;last_closing_date;last_hair_cut;last_hair_cut_date;status_gadai;jlh_efek_beredar;bmpk;bond_rating;bond_maturity_date;satuan;status
1;Liaison engage navig;Assistant generating;Practical Steel Shirt Plastic Movies;7535;2019-08-19;69;2019-08-19;true;99971;74991;Customer R;2019-08-19;84964;E
2;User-friendly;Savings Account;SMTP;75699;2019-08-19;4;2019-08-19;false;11355;2218;Borders Sp;2019-08-19;85218;V
3;Connecticut Burg;transmit Credit Card Account;digital Corporate Checking Account;98046;2019-08-19;61;2019-08-19;true;39224;55481;Unbranded ;2019-08-19;51399;s
4;Switzerland CFP Fran;Granite Configuration Buckinghamshire;Practical Steel Chips;62080;2019-08-19;35;2019-08-19;false;63340;57964;robust;2019-08-19;12888;R
5;Pakistan Rupee;Chicken;e-business RSS;51523;2019-08-19;98;2019-08-20;true;19228;22384;hacking;2019-08-19;27859;C
6;Kiribati;cyan innovative;open architecture alliance;9229;2019-08-19;48;2019-08-19;true;8175;51165;Sausages s;2019-08-19;80620;q
7;Manager;cultivate Bedfordshire;navigate Kiribati;72051;2019-08-19;6;2019-08-20;false;25243;13311;Bond Marke;2019-08-20;10718;I
8;interface;Toys;overriding;8920;2019-08-19;54;2019-08-20;false;89052;34292;Ranch impa;2019-08-19;49844;A
9;Pennsylvania Michiga;Cotton encompassing;Dynamic Home Loan Account;24435;2019-08-19;50;2019-08-19;false;60577;93369;Music;2019-08-19;15286;M
10;Gorgeous;Car Internal Small;Grocery Rand Namibia Dollar;99725;2019-08-20;90;2019-08-19;true;96947;91739;Jewelery E;2019-08-19;66864;A
