id;no_eksekusi;nomor_kontrak;kode_efek;quantity;done_qty;done_amount
1;payment;XSS solid state Hand;Concrete;10279;98666;57090
2;Health;Savings Account Rupi;back up Tactics;7241;51771;53424
3;PCI;Sports;24/365;32209;13271;97746
4;magenta Turkish Lira;green Chicken Tasty;Metal Lead;59477;93621;61660
5;Home Loan Account;capacitor;Assurance Auto Loan ;61225;81482;48439
6;invoice;Montserrat synthesiz;Port Sleek Wooden Fi;43860;8162;72482
7;Savings Account;Shoes HDD;utilisation;47018;33689;74427
8;PNG;deposit Avon;Clothing deposit;33231;99633;54247
9;Borders Intelligent ;Practical Steel Mous;indexing;17419;86827;96078
10;mindshare navigating;drive Analyst Awesom;Michigan Clothing;39551;48666;60618
