id;no_eksekusi;tanggal_entri;tanggal_trade;tanggal_settle;kode_broker
1;deposit Auto Loan Ac;2019-08-20;2019-08-20;2019-08-19;target
2;compress UAE Dirham ;2019-08-19;2019-08-19;2019-08-19;partnerships Terrace Hat
3;calculating conglome;2019-08-19;2019-08-19;2019-08-19;Plastic XSS
4;Chair mindshare Inte;2019-08-19;2019-08-19;2019-08-19;unleash grid-enabled Specialist
5;success program;2019-08-19;2019-08-19;2019-08-19;THX
6;efficient RSS Neck;2019-08-19;2019-08-20;2019-08-20;SDD
7;Cheese Summit Saint ;2019-08-20;2019-08-19;2019-08-19;4th generation
8;Principal Savings Ac;2019-08-19;2019-08-20;2019-08-20;Rubber Ethiopian Birr
9;Hawaii Networked;2019-08-20;2019-08-20;2019-08-19;data-warehouse South Carolina
10;website Curve;2019-08-20;2019-08-19;2019-08-20;disintermediate Walks Credit Card Account
