id;no_eksekusi;kode_efek;harga_jual;quantity;done_qty;amount;biaya;net_amount;alokasi_qty;aloksi_amount
1;Personal Loan Accoun;Iowa National grey;62296;46581;63156;83599;73311;23579;13156;77600
2;iterate Savings Acco;Analyst Shirt;85438;6913;49227;43716;24723;9739;87074;40502
3;Home Loan Account Lo;Checking Account Tun;39108;31214;96941;39904;25813;85798;65673;903
4;Rhode Island;Cotton Manager;45378;23467;23605;88370;7349;44202;16975;33088
5;Hill Uganda Shilling;content;24871;58788;61714;94858;70677;25252;16704;35925
6;integrate;array payment;47463;78179;84417;70538;80567;44636;58535;86421
7;Hawaii Botswana Comp;Rustic Granite Bike ;45219;18001;93387;8855;31615;10330;50723;58467
8;Congolese Franc;Architect Developer;493;1737;95181;32313;63911;97309;86791;58011
9;Open-architected Leb;Tugrik Wooden;2997;13271;30792;14354;70468;93981;20185;73289
10;Chips blue feed;communities;86814;96334;17714;25530;69262;66163;83811;97863
