id;no_pengajuan_gadai;kode_efek;quantity
1;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;43483
2;Centralized bypassing;Clothing Engineer Toys;10310
3;archive solid state;Soft Quality Mount;18514
4;Uzbekistan;input invoice calculate;72410
5;invoice Engineer Central;magenta Associate;94405
6;Small Metal Soap Principal Towels;Unions algorithm;12053
7;card azure Frozen;Data Shoal;86204
8;indexing;South Georgia and the South Sandwich Islands;64455
9;payment;Organic Granite;7696
10;Tugrik magnetic interface;Kansas;80397
