id;no_pengajuan_gadai;tgl_entri;tgl_efek_terima;kode_nasabah;nilai_pinjaman;counter_part_instruksi;status
1;Tasty navigate didac;2019-08-19;2019-08-19;schemas Industrial;15615;bus withdrawal Toys;E
2;Moldovan Leu;2019-08-20;2019-08-19;impactful;56944;THX;R
3;Producer;2019-08-19;2019-08-19;parsing matrix Belize Dollar;20498;eco-centric Senior;d
4;fuchsia Music Salad;2019-08-19;2019-08-19;circuit Forward;62476;end-to-end navigating;A
5;best-of-breed genera;2019-08-19;2019-08-19;context-sensitive Metrics transmit;14011;COM;A
6;supply-chains;2019-08-20;2019-08-19;generate;69884;incentivize purple;n
7;Corporate Lari;2019-08-19;2019-08-20;Global Soft Missouri;27405;India;B
8;Games;2019-08-20;2019-08-19;system-worthy pixel Phased;63309;Bedfordshire Virginia;n
9;strategic;2019-08-19;2019-08-19;Ergonomic;60315;Business-focused generate grid-enabled;I
10;West Virginia Keys;2019-08-19;2019-08-19;Soft Bedfordshire 4th generation;53984;Soap;R
