id;no_kontrak;tgl_entri;tgl_pencairan;tgl_jatuh_tempo;no_pengajuan_gadai;kode_nasabah;nilai_kewajiban;tgl_kirim_efek;counter_part_instruksi;status
1;Senegal withdrawal;2019-08-19;2019-08-19;2019-08-19;e-commerce SSL web-readiness;JBOD Books;87470;2019-08-20;matrix Data;Supervisor
2;Licensed Steel Shirt;2019-08-19;2019-08-19;2019-08-19;drive Practical killer;monitor Adaptive;11047;2019-08-19;emulation SQL;Persevering Gorgeous Steel Salad Associate
3;Fantastic whiteboard;2019-08-20;2019-08-19;2019-08-19;neural Cloned Massachusetts;SCSI Communications Underpass;61341;2019-08-19;parse;Intuitive
4;quantifying Phased c;2019-08-20;2019-08-19;2019-08-20;architect;lavender;77958;2019-08-19;primary invoice;EXE
5;Personal Loan Accoun;2019-08-19;2019-08-19;2019-08-19;Liaison Forward Flat;Reduced Antigua and Barbuda;59293;2019-08-19;SDD Trail;didactic Granite
6;Tasty Fresh Pizza Je;2019-08-19;2019-08-19;2019-08-19;fresh-thinking;implement;25975;2019-08-19;Sleek Granite Car Integration Handcrafted;Tasty backing up Cambridgeshire
7;Borders Internal;2019-08-19;2019-08-19;2019-08-19;Mayotte AGP circuit;optical deposit;85058;2019-08-20;Fish next-generation Quality-focused;Brunei Dollar Credit Card Account override
8;SCSI;2019-08-19;2019-08-19;2019-08-19;SAS;Fresh;33511;2019-08-19;Corporate Jewelery Tennessee;Bedfordshire Electronics asymmetric
9;website New York;2019-08-20;2019-08-19;2019-08-19;Beauty synthesizing;Gorgeous;76102;2019-08-20;web services copying;deposit Mobility
10;solid state;2019-08-20;2019-08-19;2019-08-19;Paradigm;application;6735;2019-08-19;Hollow Generic Steel Car;JBOD Technician Architect
